Date, Time, Open, High, Low, Last, Volume, # of Trades, OHLC Avg, HLC Avg, HL Avg, Bid Vol, Ask Vol, Keltner Average, Top, Bottom
2016/8/9, 13:59:05.83, 2177.00, 2177.50, 2177.00, 2177.00, 3333, 1000, 2177.13, 2177.17, 2177.25, 1688, 1645, 2177.45, 2179.03, 2175.87
2016/8/9, 14:02:13.0, 2177.25, 2177.25, 2176.50, 2176.75, 4646, 1000, 2176.94, 2176.83, 2176.88, 2835, 1811, 2177.38, 2178.98, 2175.79
2016/8/9, 14:05:16.52, 2176.75, 2176.75, 2176.25, 2176.50, 4056, 1000, 2176.56, 2176.50, 2176.50, 2169, 1887, 2177.30, 2178.85, 2175.75
2016/8/9, 14:06:50.81, 2176.50, 2176.75, 2176.00, 2176.25, 4808, 1000, 2176.38, 2176.33, 2176.38, 2633, 2175, 2177.20, 2178.76, 2175.64
2016/8/9, 14:08:50.96, 2176.25, 2176.75, 2176.25, 2176.50, 4515, 1000, 2176.44, 2176.50, 2176.50, 2259, 2256, 2177.13, 2178.65, 2175.62
2016/8/9, 14:10:28.47, 2176.50, 2177.00, 2176.25, 2176.50, 5721, 1000, 2176.56, 2176.58, 2176.63, 2673, 3048, 2177.07, 2178.61, 2175.54
2016/8/9, 14:13:20.4, 2176.50, 2176.75, 2176.00, 2176.25, 4576, 1000, 2176.38, 2176.33, 2176.38, 2463, 2113, 2176.99, 2178.54, 2175.45
2016/8/9, 14:15:05.20, 2176.25, 2176.50, 2176.00, 2176.50, 4131, 1000, 2176.31, 2176.33, 2176.25, 1529, 2602, 2176.95, 2178.45, 2175.44
2016/8/9, 14:18:37.108, 2176.50, 2177.25, 2176.50, 2177.00, 4652, 1000, 2176.81, 2176.92, 2176.88, 1228, 3424, 2176.95, 2178.48, 2175.43
2016/8/9, 14:21:03.0, 2176.75, 2177.00, 2176.00, 2176.25, 3995, 1000, 2176.50, 2176.42, 2176.50, 2625, 1370, 2176.89, 2178.48, 2175.29
2016/8/9, 14:23:28.2, 2176.25, 2176.50, 2176.00, 2176.25, 4718, 1000, 2176.25, 2176.25, 2176.25, 2121, 2597, 2176.83, 2178.38, 2175.27
2016/8/9, 14:27:13.37, 2176.25, 2176.50, 2176.00, 2176.00, 4139, 1000, 2176.19, 2176.17, 2176.25, 2071, 2068, 2176.75, 2178.25, 2175.24
