Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2016/6/22, 16:55:00, 2077.25, 2077.50, 2076.75, 2077.00, 650, 307, 345, 305
2016/6/22, 18:00:00, 2083.00, 2089.75, 2083.00, 2086.75, 9641, 2123, 3492, 6149
2016/6/22, 18:05:00, 2086.75, 2087.00, 2085.75, 2086.75, 967, 423, 626, 341
2016/6/22, 18:10:00, 2086.75, 2086.75, 2086.00, 2086.00, 485, 235, 365, 120
2016/6/22, 18:15:00, 2086.00, 2086.50, 2086.00, 2086.00, 1042, 293, 823, 219
2016/6/22, 18:20:00, 2086.00, 2086.75, 2086.00, 2086.25, 1365, 292, 886, 479
2016/6/22, 18:25:00, 2086.00, 2087.00, 2086.00, 2086.75, 1160, 348, 601, 559
2016/6/22, 18:30:00, 2086.50, 2087.75, 2086.50, 2087.50, 1176, 442, 402, 774
2016/6/22, 18:35:00, 2087.50, 2087.50, 2086.25, 2086.50, 507, 205, 278, 229
2016/6/22, 18:40:00, 2086.50, 2087.50, 2086.25, 2086.25, 968, 328, 336, 632
2016/6/22, 18:45:00, 2086.50, 2086.75, 2086.00, 2086.25, 530, 239, 315, 215
2016/6/22, 18:50:00, 2086.25, 2086.25, 2086.00, 2086.00, 305, 99, 248, 57
2016/6/22, 18:55:00, 2086.00, 2086.50, 2086.00, 2086.50, 357, 176, 144, 213
2016/6/22, 19:00:00, 2086.75, 2086.75, 2086.00, 2086.75, 422, 203, 157, 265
2016/6/22, 19:05:00, 2086.75, 2087.00, 2086.50, 2087.00, 130, 86, 73, 57
2016/6/22, 19:10:00, 2087.00, 2087.00, 2086.50, 2086.75, 435, 207, 231, 204
2016/6/22, 19:15:00, 2086.75, 2087.25, 2086.50, 2087.00, 409, 194, 162, 247
2016/6/22, 19:20:00, 2087.00, 2087.25, 2086.75, 2086.75, 248, 130, 163, 85
2016/6/22, 19:25:00, 2086.75, 2086.75, 2086.50, 2086.50, 321, 130, 173, 148
2016/6/22, 19:30:00, 2086.50, 2086.75, 2086.50, 2086.50, 68, 41, 33, 35
2016/6/22, 19:35:00, 2086.50, 2086.50, 2086.00, 2086.00, 266, 113, 237, 29
2016/6/22, 19:40:00, 2086.00, 2086.25, 2085.50, 2085.50, 324, 170, 299, 25
2016/6/22, 19:45:00, 2085.50, 2085.75, 2085.25, 2085.50, 107, 75, 69, 38
2016/6/22, 19:50:00, 2085.50, 2085.75, 2085.00, 2085.25, 527, 272, 343, 184
2016/6/22, 19:55:00, 2085.50, 2086.25, 2085.50, 2086.00, 158, 111, 19, 139
2016/6/22, 20:00:00, 2086.25, 2086.50, 2085.00, 2086.00, 788, 429, 391, 397
2016/6/22, 20:05:00, 2086.25, 2087.50, 2086.00, 2087.25, 1017, 421, 194, 823
2016/6/22, 20:10:00, 2087.50, 2087.75, 2087.00, 2087.25, 853, 428, 249, 604
2016/6/22, 20:15:00, 2087.50, 2088.75, 2087.50, 2088.00, 907, 543, 327, 580
2016/6/22, 20:20:00, 2088.25, 2089.00, 2087.00, 2087.75, 1439, 729, 834, 605
2016/6/22, 20:25:00, 2087.50, 2087.75, 2087.00, 2087.00, 295, 197, 190, 105
2016/6/22, 20:30:00, 2087.00, 2087.50, 2086.75, 2087.00, 422, 240, 182, 240
2016/6/22, 20:35:00, 2087.00, 2087.25, 2087.00, 2087.00, 370, 167, 203, 167
2016/6/22, 20:40:00, 2087.00, 2087.50, 2087.00, 2087.50, 121, 86, 56, 65
2016/6/22, 20:45:00, 2087.50, 2087.50, 2086.75, 2087.00, 344, 204, 165, 179
2016/6/22, 20:50:00, 2086.75, 2087.50, 2086.75, 2087.25, 191, 134, 68, 123
2016/6/22, 20:55:00, 2087.25, 2087.25, 2086.50, 2086.75, 243, 160, 125, 118
2016/6/22, 21:00:00, 2086.75, 2087.75, 2086.50, 2087.50, 315, 220, 95, 220
2016/6/22, 21:05:00, 2087.75, 2087.75, 2087.25, 2087.75, 315, 204, 115, 200
2016/6/22, 21:10:00, 2087.75, 2088.00, 2087.00, 2087.00, 395, 243, 273, 122
2016/6/22, 21:15:00, 2087.25, 2087.75, 2087.00, 2087.75, 467, 261, 223, 244
2016/6/22, 21:20:00, 2087.75, 2088.25, 2087.50, 2087.75, 457, 243, 193, 264
2016/6/22, 21:25:00, 2087.75, 2088.75, 2087.50, 2088.25, 684, 331, 240, 444
2016/6/22, 21:30:00, 2088.25, 2088.25, 2087.75, 2087.75, 490, 261, 286, 204
2016/6/22, 21:35:00, 2087.75, 2088.00, 2087.50, 2087.50, 362, 247, 218, 144
2016/6/22, 21:40:00, 2087.25, 2087.75, 2087.25, 2087.75, 178, 109, 72, 106
2016/6/22, 21:45:00, 2087.75, 2088.00, 2087.50, 2087.75, 197, 148, 106, 91
2016/6/22, 21:50:00, 2088.00, 2088.00, 2087.50, 2087.50, 203, 115, 108, 95
2016/6/22, 21:55:00, 2087.75, 2087.75, 2087.25, 2087.75, 350, 133, 261, 89
2016/6/22, 22:00:00, 2087.50, 2088.25, 2087.50, 2088.00, 475, 226, 217, 258
2016/6/22, 22:05:00, 2088.00, 2088.25, 2087.75, 2088.25, 162, 103, 71, 91
2016/6/22, 22:10:00, 2088.25, 2088.25, 2087.00, 2087.00, 482, 279, 412, 70
2016/6/22, 22:15:00, 2087.00, 2087.75, 2087.00, 2087.50, 261, 146, 113, 148
2016/6/22, 22:20:00, 2087.75, 2088.00, 2087.50, 2087.75, 159, 99, 90, 69
2016/6/22, 22:25:00, 2087.75, 2088.00, 2087.50, 2087.50, 126, 81, 73, 53
2016/6/22, 22:30:00, 2087.50, 2087.50, 2087.00, 2087.25, 170, 110, 100, 70
2016/6/22, 22:35:00, 2087.25, 2087.25, 2086.75, 2087.25, 807, 338, 426, 381
2016/6/22, 22:40:00, 2087.00, 2087.00, 2086.50, 2086.75, 52, 41, 37, 15
2016/6/22, 22:45:00, 2086.75, 2086.75, 2086.50, 2086.75, 49, 37, 19, 30
2016/6/22, 22:50:00, 2086.75, 2087.00, 2086.75, 2087.00, 144, 90, 31, 113
2016/6/22, 22:55:00, 2087.00, 2087.00, 2086.75, 2087.00, 90, 53, 51, 39
2016/6/22, 23:00:00, 2086.75, 2087.00, 2086.00, 2086.25, 423, 233, 346, 77
2016/6/22, 23:05:00, 2086.25, 2086.50, 2086.00, 2086.50, 251, 152, 81, 170
2016/6/22, 23:10:00, 2086.25, 2086.50, 2086.00, 2086.25, 330, 180, 218, 112
2016/6/22, 23:15:00, 2086.00, 2086.25, 2085.25, 2085.50, 739, 348, 545, 194
2016/6/22, 23:20:00, 2085.25, 2085.50, 2085.00, 2085.25, 337, 179, 190, 147
2016/6/22, 23:25:00, 2085.50, 2085.50, 2085.00, 2085.25, 226, 143, 99, 127
2016/6/22, 23:30:00, 2085.25, 2085.75, 2084.50, 2085.50, 599, 321, 324, 275
2016/6/22, 23:35:00, 2085.50, 2085.75, 2085.50, 2085.50, 122, 51, 81, 41
2016/6/22, 23:40:00, 2085.50, 2086.00, 2085.50, 2086.00, 226, 96, 9, 217
2016/6/22, 23:45:00, 2086.00, 2086.00, 2085.75, 2085.75, 211, 77, 9, 202
