Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2016/6/22, 12:52:33.68, 2082.25, 2082.75, 2082.25, 2082.50, 1596, 500, 589, 1007
2016/6/22, 12:53:38.2, 2082.50, 2083.00, 2082.50, 2083.00, 1415, 500, 723, 692
2016/6/22, 12:54:33.67, 2083.00, 2083.25, 2082.75, 2083.00, 1328, 500, 662, 666
2016/6/22, 12:55:05.9, 2083.00, 2083.25, 2082.50, 2083.00, 1473, 500, 687, 786
2016/6/22, 12:56:04.84, 2083.00, 2083.25, 2082.75, 2083.25, 1334, 500, 789, 545
2016/6/22, 12:56:44.22, 2083.25, 2083.25, 2082.50, 2082.75, 1293, 500, 893, 400
2016/6/22, 12:58:36.58, 2082.75, 2082.75, 2082.50, 2082.75, 1226, 500, 704, 522
2016/6/22, 12:59:48.54, 2082.75, 2082.75, 2082.00, 2082.25, 1538, 500, 846, 692
2016/6/22, 13:00:18.17, 2082.25, 2082.25, 2081.75, 2081.75, 1367, 500, 929, 438
2016/6/22, 13:00:57.20, 2081.75, 2082.00, 2081.50, 2082.00, 1361, 500, 871, 490
2016/6/22, 13:01:29.1, 2082.00, 2082.50, 2081.75, 2082.25, 1468, 500, 615, 853
2016/6/22, 13:02:52, 2082.00, 2083.00, 2082.00, 2082.75, 1482, 500, 449, 1033
2016/6/22, 13:04:28.2, 2082.75, 2083.00, 2082.25, 2083.00, 1473, 500, 759, 714
2016/6/22, 13:05:36.50, 2083.00, 2083.50, 2083.00, 2083.25, 1541, 500, 653, 888
2016/6/22, 13:05:59.1, 2083.25, 2084.00, 2083.25, 2084.00, 1262, 500, 375, 887
2016/6/22, 13:06:14.199, 2084.00, 2084.00, 2083.50, 2083.75, 1403, 500, 718, 685
2016/6/22, 13:06:25.9, 2083.75, 2083.75, 2082.50, 2082.75, 1486, 500, 1076, 410
2016/6/22, 13:06:57.15, 2082.75, 2083.25, 2082.50, 2082.75, 1425, 500, 748, 677
2016/6/22, 13:08:26.80, 2082.75, 2082.75, 2082.25, 2082.50, 1648, 500, 987, 661
2016/6/22, 13:08:58.41, 2082.50, 2082.50, 2081.75, 2082.00, 1375, 500, 821, 554
2016/6/22, 13:09:37.58, 2082.00, 2082.50, 2082.00, 2082.50, 1476, 500, 609, 867
2016/6/22, 13:10:51.56, 2082.50, 2082.75, 2082.00, 2082.25, 1449, 500, 846, 603
2016/6/22, 13:11:51.13, 2082.25, 2082.50, 2081.75, 2082.25, 1174, 500, 643, 531
2016/6/22, 13:13:11.4, 2082.25, 2082.50, 2082.00, 2082.50, 1349, 500, 649, 700
2016/6/22, 13:14:45, 2082.50, 2082.50, 2081.75, 2082.25, 1130, 500, 628, 502
2016/6/22, 13:15:55.24, 2082.25, 2083.00, 2082.25, 2083.00, 1211, 500, 335, 876
2016/6/22, 13:17:18.11, 2083.00, 2083.50, 2083.00, 2083.00, 1426, 500, 564, 862
2016/6/22, 13:17:58.30, 2083.00, 2083.00, 2082.25, 2082.25, 1685, 500, 768, 917
2016/6/22, 13:19:22.4, 2082.25, 2082.25, 2081.50, 2081.75, 1605, 500, 1174, 431
2016/6/22, 13:19:53.50, 2081.75, 2082.00, 2081.00, 2081.00, 1554, 500, 1327, 227
2016/6/22, 13:20:13.177, 2081.00, 2081.00, 2080.50, 2080.75, 1167, 500, 860, 307
2016/6/22, 13:20:29.30, 2080.75, 2081.00, 2080.50, 2080.75, 1203, 500, 434, 769
2016/6/22, 13:21:19.18, 2080.75, 2081.00, 2080.50, 2080.75, 1460, 500, 704, 756
2016/6/22, 13:22:09.64, 2080.75, 2081.25, 2080.50, 2081.25, 1538, 500, 692, 846
2016/6/22, 13:23:18.18, 2081.25, 2081.50, 2080.75, 2081.00, 1638, 500, 1003, 635
2016/6/22, 13:24:01.43, 2081.00, 2081.75, 2081.00, 2081.50, 1450, 500, 652, 798
2016/6/22, 13:25:00.60, 2081.50, 2082.25, 2081.25, 2082.25, 1283, 500, 390, 893
2016/6/22, 13:25:57.36, 2082.25, 2082.50, 2082.00, 2082.50, 1428, 500, 524, 904
2016/6/22, 13:26:33.65, 2082.50, 2082.75, 2082.00, 2082.00, 1247, 500, 663, 584
2016/6/22, 13:27:13.3, 2082.00, 2082.75, 2081.75, 2082.75, 1260, 500, 474, 786
2016/6/22, 13:28:03.108, 2082.75, 2083.00, 2082.50, 2082.50, 1227, 500, 639, 588
2016/6/22, 13:28:49.114, 2082.50, 2082.50, 2082.00, 2082.50, 1266, 500, 660, 606
2016/6/22, 13:29:52.56, 2082.50, 2082.75, 2082.25, 2082.75, 1193, 500, 487, 706
2016/6/22, 13:30:30.2, 2082.75, 2083.25, 2082.50, 2082.75, 1127, 500, 461, 666
2016/6/22, 13:31:38, 2082.75, 2083.25, 2081.75, 2082.00, 1652, 500, 1113, 539
2016/6/22, 13:32:22.4, 2082.00, 2082.50, 2081.50, 2081.75, 1376, 500, 732, 644
2016/6/22, 13:33:00.30, 2081.75, 2081.75, 2081.25, 2081.50, 1334, 500, 528, 806
2016/6/22, 13:33:39.57, 2081.50, 2081.75, 2081.00, 2081.25, 1666, 500, 1003, 663
2016/6/22, 13:34:31, 2081.25, 2081.50, 2081.00, 2081.25, 1453, 500, 624, 829
2016/6/22, 13:35:00.79, 2081.25, 2081.25, 2080.50, 2081.25, 1373, 500, 895, 478
2016/6/22, 13:35:57.8, 2081.25, 2081.50, 2081.00, 2081.00, 1622, 500, 789, 833
2016/6/22, 13:36:27.95, 2081.00, 2081.00, 2080.00, 2080.00, 1316, 500, 1034, 282
2016/6/22, 13:36:45.123, 2080.00, 2080.50, 2080.00, 2080.50, 1300, 500, 384, 916
2016/6/22, 13:37:59.5, 2080.50, 2081.00, 2080.25, 2080.50, 1358, 500, 683, 675
2016/6/22, 13:38:41.65, 2080.50, 2080.50, 2080.00, 2080.50, 1412, 500, 559, 853
2016/6/22, 13:39:53.36, 2080.50, 2080.50, 2079.75, 2080.25, 1683, 500, 1095, 588
2016/6/22, 13:40:22.70, 2080.25, 2081.00, 2080.00, 2080.75, 1293, 500, 690, 603
2016/6/22, 13:41:34.50, 2080.75, 2080.75, 2080.00, 2080.25, 1428, 500, 900, 528
2016/6/22, 13:42:22.155, 2080.25, 2080.25, 2079.75, 2080.00, 1768, 500, 932, 836
2016/6/22, 13:42:58.5, 2080.00, 2080.25, 2079.75, 2080.00, 1299, 500, 805, 494
2016/6/22, 13:44:15.70, 2080.00, 2080.25, 2079.75, 2079.75, 1101, 500, 588, 513
2016/6/22, 13:45:55.9, 2079.75, 2079.75, 2079.00, 2079.25, 1560, 500, 1241, 319
2016/6/22, 13:46:13.20, 2079.25, 2079.75, 2079.25, 2079.50, 1276, 500, 552, 724
2016/6/22, 13:46:54.29, 2079.50, 2079.75, 2079.00, 2079.50, 1286, 500, 725, 561
2016/6/22, 13:47:44.9, 2079.50, 2079.75, 2079.00, 2079.25, 1400, 500, 662, 738
2016/6/22, 13:48:29.7, 2079.25, 2079.75, 2079.25, 2079.50, 1595, 500, 529, 1066
2016/6/22, 13:48:50.17, 2079.50, 2079.75, 2079.50, 2079.50, 1496, 500, 662, 834
2016/6/22, 13:49:24.21, 2079.50, 2080.00, 2079.25, 2079.75, 1377, 500, 608, 769
2016/6/22, 13:50:28.11, 2079.75, 2080.25, 2079.75, 2080.00, 1319, 500, 685, 634
2016/6/22, 13:51:05, 2080.00, 2080.00, 2079.25, 2079.50, 1518, 500, 861, 657
2016/6/22, 13:51:55.24, 2079.50, 2080.25, 2079.25, 2080.25, 1275, 500, 238, 1037
2016/6/22, 13:53:02.26, 2080.25, 2080.75, 2080.25, 2080.25, 1415, 500, 649, 766
2016/6/22, 13:53:45, 2080.25, 2080.25, 2079.25, 2080.00, 1408, 500, 755, 653
2016/6/22, 13:54:11.57, 2080.00, 2080.50, 2080.00, 2080.25, 1836, 500, 1062, 774
2016/6/22, 13:54:49.55, 2080.25, 2081.00, 2080.25, 2080.50, 1522, 500, 536, 986
2016/6/22, 13:55:26.33, 2080.50, 2081.25, 2080.50, 2081.00, 1630, 500, 591, 1039
2016/6/22, 13:56:02.48, 2081.00, 2081.25, 2080.50, 2080.75, 1435, 500, 774, 661
2016/6/22, 13:57:00.38, 2080.75, 2081.00, 2080.75, 2081.00, 1554, 500, 728, 826
2016/6/22, 13:57:32.19, 2081.00, 2081.00, 2080.50, 2080.50, 1397, 500, 826, 571
2016/6/22, 13:58:52.12, 2080.50, 2081.25, 2080.25, 2081.00, 1144, 500, 490, 654
2016/6/22, 13:59:50.14, 2081.00, 2081.25, 2080.50, 2081.25, 1160, 500, 415, 745
2016/6/22, 14:00:48.39, 2081.25, 2082.00, 2081.25, 2082.00, 1371, 500, 216, 1155
2016/6/22, 14:00:57.25, 2082.00, 2082.25, 2081.75, 2082.00, 1334, 500, 621, 713
2016/6/22, 14:01:09.198, 2082.00, 2082.75, 2081.75, 2082.75, 1231, 500, 508, 723
2016/6/22, 14:01:45.7, 2082.75, 2083.00, 2082.50, 2083.00, 1617, 500, 557, 1060
2016/6/22, 14:02:11.80, 2083.00, 2083.50, 2083.00, 2083.25, 1312, 500, 767, 545
2016/6/22, 14:02:24.45, 2083.25, 2083.50, 2082.75, 2083.00, 1415, 500, 806, 609
2016/6/22, 14:03:15.43, 2083.00, 2083.25, 2082.50, 2082.50, 1703, 500, 971, 732
2016/6/22, 14:03:58.4, 2082.50, 2083.00, 2082.50, 2082.75, 1171, 500, 643, 528
2016/6/22, 14:05:36.17, 2082.75, 2082.75, 2082.00, 2082.25, 1508, 500, 899, 609
2016/6/22, 14:06:14.15, 2082.25, 2082.50, 2082.00, 2082.00, 1083, 500, 719, 364
2016/6/22, 14:07:06.100, 2082.00, 2082.00, 2081.25, 2081.50, 1642, 500, 970, 672
2016/6/22, 14:07:27.35, 2081.50, 2082.00, 2081.25, 2081.50, 1508, 500, 705, 803
2016/6/22, 14:07:54.78, 2081.50, 2081.75, 2081.00, 2081.25, 1305, 500, 795, 510
2016/6/22, 14:08:45.11, 2081.25, 2081.25, 2080.25, 2080.25, 1278, 500, 921, 357
2016/6/22, 14:08:58.31, 2080.25, 2080.50, 2080.00, 2080.00, 1684, 500, 959, 725
2016/6/22, 14:09:05.71, 2080.00, 2080.50, 2079.50, 2080.25, 1496, 500, 718, 778
2016/6/22, 14:09:18.19, 2080.25, 2080.25, 2079.50, 2079.75, 1460, 500, 830, 630
2016/6/22, 14:09:37.56, 2079.50, 2080.00, 2079.50, 2079.75, 1539, 500, 595, 944
2016/6/22, 14:10:05.13, 2079.75, 2080.50, 2079.75, 2080.25, 1381, 500, 536, 845
2016/6/22, 14:10:28.39, 2080.25, 2080.25, 2079.75, 2079.75, 1263, 500, 762, 501
2016/6/22, 14:11:10.25, 2079.75, 2080.00, 2079.25, 2079.50, 1367, 500, 744, 623
2016/6/22, 14:11:42.26, 2079.50, 2080.00, 2079.50, 2079.75, 1473, 500, 798, 675
2016/6/22, 14:12:32.67, 2079.75, 2080.50, 2079.50, 2080.50, 1400, 500, 312, 1088
2016/6/22, 14:13:03.42, 2080.50, 2080.75, 2079.75, 2079.75, 1253, 500, 743, 510
2016/6/22, 14:14:02.107, 2079.75, 2080.25, 2079.25, 2079.50, 1454, 500, 752, 702
2016/6/22, 14:14:40.29, 2079.50, 2079.75, 2079.00, 2079.50, 1306, 500, 620, 686
2016/6/22, 14:15:13.46, 2079.50, 2080.25, 2079.50, 2080.25, 1402, 500, 598, 804
2016/6/22, 14:15:55, 2080.00, 2080.75, 2080.00, 2080.00, 1155, 500, 489, 666
2016/6/22, 14:16:37, 2080.00, 2080.00, 2079.00, 2079.25, 1666, 500, 1215, 451
